,id,Scientific_Name,Common_Name,size,Size_category,Mass,Habitat,Habitat_Category,Migration,Trophic_Level__Feeding_Habits_,Min_Latitude,Max_Latitude,Centroid_Latitude,Centroid_Longitude,Range_Size,General_Describtion,species_status,status
10304,8371,melanodryas cucullata,Hooded Robin,177.1,Medium,21.1,Shrubland,Semi-open habitats,1,Carnivore,-39.14,-11.12,-26.18,134.15,6352636.74,"The hooded robin (Melanodryas cucullata) is a small passerine bird native to Australia. Like many brightly coloured robins of the Petroicidae, it is sexually dimorphic; the male bears a distinctive black-and-white plumage, while the female is a nondescript grey-brown.",extant,ENRICHED
10305,9427,melierax canorus,Pale Chanting-Goshawk,683.6,Large,663.32,Shrubland,Open habitats,1,Carnivore,-34.84,-16.27,-25.28,21.47,2246754.63,"The pale chanting goshawk (Melierax canorus) is a  bird of prey in the family Accipitridae. 
This hawk breeds in southern Africa and is a resident species of dry, open semi-desert with 75 cm or less annual rainfall. It is commonly seen perched on roadside telephone poles.",Least Concern,ENRICHED
10306,8759,melierax metabates,Dark Chanting-Goshawk,619.2,Large,674.53,Shrubland,Semi-open habitats,1,Carnivore,-26.91,31.81,2.47,20.89,12484209.96,"The dark chanting goshawk (Melierax metabates) is a bird of prey in the family Accipitridae which is found across much of sub-Saharan Africa and southern Arabia, with an isolated and declining population in southern Morocco.",extant,ENRICHED
10307,8141,melierax poliopterus,Eastern Chanting-Goshawk,597.8,Large,629.88,Shrubland,Semi-open habitats,1,Carnivore,-8.28,11.99,2.87,41.02,2071175.93,"The eastern (pale) chanting goshawk (Melierax poliopterus), or Somali chanting goshawk, is a bird of prey of East Africa.",Least Concern,ENRICHED
10308,4534,melocichla mentalis,Moustached Grass Warbler,196.0,Medium,33.2,Shrubland,Semi-open habitats,1,Carnivore,-20.57,12.99,-0.78,18.88,6248614.06,"The moustached grass warbler (Melocichla mentalis) is a species of African warbler, formerly placed in the family Sylviidae.",extant,ENRICHED
10309,10574,melospiza melodia,Song Sparrow,155.0,Medium,21.91,Shrubland,Semi-open habitats,2,Omnivore,18.99,62.57,47.88,-103.48,10313728.38,0,extant,ENRICHED
10310,7322,melozone aberti,Abert's Towhee,228.6,Medium,45.93,Shrubland,Semi-open habitats,1,Carnivore,31.15,37.70,33.84,-112.43,170236.93,"Abert's towhee (Melozone aberti) is a bird of the family Passerellidae, native to a small range in southwestern North America, generally the lower Colorado River and Gila River watersheds, nearly endemic to Arizona, but also present in small parts of California, Nevada, Utah, New Mexico, and Sonora in Mexico. The name of this bird commemorates the American ornithologist James William Abert (1820–1897).",extant,ENRICHED
10311,3588,melozone albicollis,White-throated Towhee,196.8,Medium,46.4,Shrubland,Semi-open habitats,1,Herbivore,16.06,18.71,17.15,-97.23,64681.63,The white-throated towhee (Melozone albicollis) is a species of bird in the family Passerellidae that is endemic to Mexico. Its natural habitats are subtropical or tropical moist montane forests and subtropical or tropical high-altitude shrubland.,extant,ENRICHED
10312,9673,melozone crissalis,California Towhee,216.7,Medium,52.83,Shrubland,Semi-open habitats,1,Herbivore,22.87,43.18,34.40,-118.36,333326.69,"The California towhee (Melozone crissalis) is a bird of the family Passerellidae, native to the coastal regions of western Oregon and California in the United States and Baja California  and Baja California Sur in Mexico.",extant,ENRICHED
10313,8629,melozone fusca,Canyon Towhee,214.4,Medium,44.4,Shrubland,Semi-open habitats,1,Herbivore,17.20,39.83,28.78,-104.85,1684944.38,"The canyon towhee (Melozone fusca) is a bird of the family Passerellidae.  Until 1989, the Canyon Towhee and the California towhee were considered to be a single species which was called the Brown Towhee.[2]",extant,ENRICHED
