species_no,scientific_name
3243,thlypopsis ruficeps
432,formicivora paludicola
3827,conirostrum rufum
6362,psophia leucoptera
7587,sylvia melanothorax
6079,corvinella corvina
9443,merops leschenaulti
9455,zonotrichia atricapilla
10374,coereba flaveola
9917,apus pacificus
9798,cynanthus latirostris
4416,garrulax cineraceus
2973,criniger olivaceus
7014,eopsaltria griseogularis
4238,oenanthe heuglini
2314,lichmera incana
9936,onychoprion fuscatus
1791,muscisaxicola griseus
3326,heterocercus aurantiivertex
10853,falco rusticolus
274,myzomela cineracea
3514,teretistris fornsi
3377,mirafra hypermetra
6206,geoffroyus heteroclitus
7023,recurvirostra andina
2861,piculus callopterus
2092,lonchura hunsteini
10708,alectoris chukar
8265,psilorhinus morio
2181,turdus aurantius
6168,pnoepyga albiventer
4757,cinnyris notatus
5825,sporophila cinnamomea
3622,touit dilectissimus
10618,bucephala albeola
1083,pseudobulweria rupinarum
2860,geokichla schistacea
8628,penelope purpurascens
5219,zosterops ceylonensis
8291,anisognathus somptuosus
7209,vanellus macropterus
7444,columba albitorques
10298,perisoreus infaustus
2444,cinclocerthia gutturalis
5946,melaenornis fischeri
3947,conirostrum bicolor
710,babax koslowi
245,symposiachrus menckei
810,lophozosterops squamiceps
3846,pachycare flavogriseum
3169,lonchura teerinki
791,apus balstoni
7592,psitteuteles versicolor
6136,phoenicircus carnifex
2865,phaethornis atrimentalis
9711,ardeola grayii
5091,chrysococcyx megarhynchus
10443,gyps africanus
2436,arachnothera everetti
5670,phrygilus punensis
7866,geocolaptes olivaceus
2016,cyornis caerulatus
6756,sporopipes frontalis
5243,cantorchilus leucotis
1346,toxorhamphus poliopterus
1120,myrmochanes hemileucus
2197,pachyornis australis
2621,rigidipenna inexpectata
8297,coua cristata
8317,lophospingus pusillus
2054,pycnopygius cinereus
2940,chaetura andrei
10963,hirundo rustica
7728,puffinus baroli
9964,loddigesia mirabilis
7982,cyanolanius madagascarinus
943,prinia cinerascens
4919,agelasticus cyanopus
2647,otus mayottensis
1169,alophoixus frater
10145,brotogeris tirica
5065,poospiza melanoleuca
7445,diglossopis cyanea
5614,acrocephalus orinus
816,myrmeciza pelzelni
1210,grallaria haplonota
5654,melanodera melanodera
8616,hylia prasina
9802,megarynchus pitangua
9057,pycnonotus leucogenys
557,melilestes megarhynchus
9277,buteogallus meridionalis
9664,merganetta armata
2375,oreoscopus gutturalis
1557,lalage leucopyga
1043,zosterops buruensis
2882,gallirallus insignis
7810,oenanthe sarmentosa
3329,laniisoma elegans
5861,melaenornis edolioides
6120,ramphomicron microrhynchum
3429,rhinomyias umbratilis
8922,glossopsitta porphyrocephala
8491,chrysocolaptes guttacristatus
2689,napothera crispifrons
8173,elaenia albiceps
7241,vireo altiloquus
6252,lepidocolaptes souleyetii
8884,geococcyx velox
6653,rallus caerulescens
3769,scelorchilus albicollis
7854,psitteuteles iris
4209,hypositta corallirostris
3591,pteruthius xanthochlorus
3214,heliolais erythropterus
2759,carpodacus trifasciatus
9107,turacoena modesta
122,rupelramphastoides knopfi
6954,haliaeetus sanfordi
1347,troglodytes sissonii
6555,passer gongonensis
5916,pyrrhura hoematotis
4935,sicalis citrina
2155,nephelomyias lintoni
2282,ploceus reichardi
482,rhipidura rennelliana
10191,amazona oratrix
7361,brotogeris chrysoptera
10017,chroicocephalus brunnicephalus
4369,tachybaptus pelzelnii
3968,odontophorus speciosus
7757,eurylaimus javanicus
1629,ptilinopus granulifrons
2567,hylopezus dives
3948,otus moheliensis
5559,rhinoptilus cinctus
7960,glaucidium minutissimum
2623,dysmorodrepanis munroi
4338,certhionyx pectoralis
10793,phoenicopterus ruber
9614,urocissa flavirostris
63,bermuteo avivorus
9139,hirundo tahitica
8351,larus heuglini
5543,geotrygon mystacea
7862,pterodroma madeira
6288,tockus monteiri
3530,trochalopteron imbricatum
329,thamnophilus stictocephalus
4579,mulleripicus fulvus
7822,arremonops rufivirgatus
4394,antrostomus badius
9094,falco deiroleucus
6998,coeligena orina
8950,cacomantis merulinus
8547,pionopsitta pileata
7047,acanthagenys rufogularis
9332,primolius auricollis
8377,polihierax insignis
2917,parus leuconotus
4304,trachyphonus margaritatus
3794,scolopax celebensis
6765,megascops barbarus
4803,monticola brevipes
6795,aburria aburri
5293,sublegatus arenarum
10829,otus scops
361,hemitriccus cohnhafti
6947,pycnonotus squamatus
10920,accipiter nisus
814,monarcha richardsii
10433,botaurus lentiginosus
2673,hemispingus melanotis
8024,macropygia amboinensis
8731,saltator aurantiirostris
6712,acrocephalus sechellensis
8978,tachybaptus dominicus
1040,cantorchilus guarayanus
1784,melidectes torquatus
5969,calochaetes coccineus
10506,emberiza schoeniclus
6837,ficedula tricolor
246,symposiachrus vidua
6457,ficedula strophiata
406,synallaxis castanea
3230,ploceus spekeoides
4833,coeligena violifer
1206,cranioleuca hellmayri
6171,megalaima rafflesii
8149,saltator similis
6933,thlypopsis sordida
6991,peucaea botterii
1856,coua serriana
10744,calidris alpina
5030,linaria yemenensis
4368,conopophaga lineata
3147,campethera scriptoricauda
6359,neopsittacus pullicauda
6755,myioborus miniatus
7847,colaptes pitius
3302,bangsia rothschildi
4231,tangara inornata
6272,coracias temminckii
9027,cistothorus platensis
840,vidua nigeriae
7108,eumyias albicaudatus
9726,lophotriorchis kienerii
3456,phaethornis hispidus
5408,coracina melanoptera
3803,phylloscopus reguloides
1110,laniarius brauni
5636,pteroptochos castaneus
25,alopochen sirabensis
10613,netta rufina
1977,pinarocorys erythropygia
5640,dendrocopos himalayensis
2203,sheppardia gunningi
6746,pterodroma nigripennis
8924,pycnonotus atriceps
2456,formicivora erythronotos
8647,tersina viridis
6679,phylloscopus neglectus
4043,coua ruficeps
4562,monticola rufocinereus
5146,metriopelia aymara
9960,sturnella magna
10220,falco eleonorae
300,phylloscopus laurae
5451,amazilia leucogaster
7922,amazilia tobaci
2219,acrocephalus rodericanus
3311,cyornis lemprieri
2414,phlogophilus harterti
9740,myiarchus crinitus
994,elaenia dayi
10978,aquila chrysaetos
1135,scytalopus griseicollis
6383,heliangelus strophianus
8160,pteroglossus aracari
4259,crithagra ankoberensis
4240,megalaima malabarica
7144,trogon caligatus
4621,grallaria bangsi
7626,rhodothraupis celaeno
9114,orthopsittaca manilatus
4498,piranga erythrocephala
1981,pycnonotus urostictus
1464,stachyridopsis pyrrhops
6507,charadrius falklandicus
3905,asthenes dorbignyi
10756,diomedea exulans
8204,tanygnathus megalorynchos
806,hemispingus parodii
10926,garrulus glandarius
4512,passer rufocinctus
715,coracina schisticeps
7763,aglaeactis cupripennis
3801,haplophaedia lugens
5374,hypsipetes madagascariensis
3334,myiarchus barbirostris
5301,psittacula wardi
10604,haliaeetus leucogaster
527,eremomela badiceps
3151,pheugopedius rutilus
9303,trogon elegans
8945,aegithalos concinnus
946,automolus paraensis
1435,myrmotherula ignota
10301,falco subniger
7541,columbina cyanopis
739,neolalage banksiana
9894,euphagus carolinus
1492,cacatua pastinator pastinator
8392,agelasticus thilius
9194,enicognathus leptorhynchus
2866,phaethornis bourcieri
7828,prionops plumatus
3652,colorhamphus parvirostris
9622,chondestes grammacus
9768,sporophila lineola
7208,stipiturus malachurus
2576,myrmeciza hyperythra
9568,pelecanus thagus
