species_no,scientific_name,species_id
571,pomarea nukuhivae,/m/02w7vl0
572,pomarea pomarea,/m/02w7vlc
573,ptiloprora erythropleura,/m/02w7y6y
574,rhinomyias oscillans,/m/02w81sb
575,asthenes coryi,/m/02w83pj
576,asthenes griseomurina,/m/02w86vm
577,scytalopus novacapitalis,/m/02w87jm
578,scytalopus sanctaemartae,/m/02w87mc
579,sheppardia bocagei,/m/02w888b
580,sterrhoptilus dennistouni,/m/02w8c4t
581,synallaxis moesta,/m/02w8dwt
582,cantorchilus leucopogon,/m/02w8jbx
583,timeliopsis fulvigula,/m/02w8jvc
584,turdus olivaceofuscus,/m/02w8mfk
585,zosterops cinereus,/m/02w8q_b
586,zosterops salvadorii,/m/02w8rkk
587,anthus latistriatus,/m/03c6dml
588,cinnyris ludovicensis,/m/03cfwt0
589,spelaeornis reptatus,/m/0466sqj
590,spelaeornis oatesi,/m/0466sqx
591,schistocichla saturata,/m/04cwznt
592,schistocichla humaythae,/m/04cx224
593,zimmerius acer,/m/04qb6v3
594,pengana robertbolesi,/m/08zx5b
595,circus dossenus,/m/09v1f63
596,nola pumila,/m/0bwkxxl
597,rhizothera dulitensis,/m/0ddd52p
598,rhipidura kubaryi,/m/0dgj3k
599,rhipidura malaitae,/m/0dgj9z
600,horornis haddeni,/m/0f2r9b
601,neophrontops,/m/0py2c1n
602,ninox squamipila,/m/0s8t_h5
603,gymnophaps stalkeri,/m/0s8xvq8
604,otus nigrorum,/m/0s99kpq
605,ninox spilonotus,/m/0wxq9qp
606,ninox mindorensis,/m/0wxys3l
607,montifringilla henrici,/m/0wy3bv_
608,crypturellus erythropus columbianus,/m/02prhfr
609,scepomycter winifredae,/m/02vv4ws
610,crossleyia xanthophrys,/m/02vv5dm
611,macrosphenus flavicans,/m/02vv5tp
612,nesillas lantzii,/m/02vv639
613,chaetura viridipennis,/m/02w4njm
614,nyctiprogne vielliardi,/m/02w4ss2
615,centropus bernsteini,/m/02w4tsr
616,arizelocichla masukuensis,/m/02w51k2
617,phyllastrephus poensis,/m/02w52v6
618,aplonis dichroa,/m/02w55xd
619,aegotheles wallacii,/m/02w5946
620,ducula finschii,/m/02w5c1y
621,gymnophaps mada,/m/02w5dbt
622,certhia discolor,/m/02w5_k4
623,chrysomma poecilotis,/m/02w63b5
624,contopus albogularis,/m/02w66g6
625,coracina morio,/m/02w67g6
626,dicaeum tristrami,/m/02w6fg0
627,diglossa gloriosa,/m/02w6fzw
628,elaenia pelzelni,/m/02w6hsn
629,lichmera deningeri,/m/02w6_jy
630,lichmera flavicans,/m/02w6_k8
631,fraseria ocreata,/m/02w6lpk
632,gerygone albofrontata,/m/02w6qh0
633,hemispingus xanthophthalmus,/m/02w6s9v
634,herpsilochmus motacilloides,/m/02w6swc
